 . . 6 | . . . | 8 . .
 1 . . | . . . | . . .
 . 3 . | . 8 . | 5 . 6
-------|-------|-------
 6 . . | . 3 1 | . . 8
 . 2 . | 9 . 6 | 3 1 5
 . . . | 2 . . | . . .
-------|-------|-------
 9 . . | . 1 . | . . .
 3 . . | . 2 . | . . .
 . . . | 6 . 9 | 4 5 .

 5 4 6 | 3 9 7 | 8 2 1
 1 9 8 | 5 6 2 | 7 3 4
 7 3 2 | 1 8 4 | 5 9 6
-------|-------|-------
 6 5 9 | 7 3 1 | 2 4 8
 8 2 7 | 9 4 6 | 3 1 5
 4 1 3 | 2 5 8 | 9 6 7
-------|-------|-------
 9 7 5 | 4 1 3 | 6 8 2
 3 6 4 | 8 2 5 | 1 7 9
 2 8 1 | 6 7 9 | 4 5 3

