 . . . | 2 . . | 6 . 9
 . . 1 | . . . | . . .
 . . 8 | . 4 9 | . . .
-------|-------|-------
 . 7 . | . . . | . . 8
 . 1 . | . 9 . | . 7 .
 2 . 9 | 6 8 . | . . 4
-------|-------|-------
 6 3 . | . . . | . . .
 . . 7 | . 2 . | . 4 .
 . 8 . | . 6 . | 2 3 .

 7 4 5 | 2 3 1 | 6 8 9
 9 2 1 | 8 7 6 | 4 5 3
 3 6 8 | 5 4 9 | 7 2 1
-------|-------|-------
 4 7 3 | 1 5 2 | 9 6 8
 8 1 6 | 4 9 3 | 5 7 2
 2 5 9 | 6 8 7 | 3 1 4
-------|-------|-------
 6 3 2 | 7 1 4 | 8 9 5
 5 9 7 | 3 2 8 | 1 4 6
 1 8 4 | 9 6 5 | 2 3 7

